frame,urdu,english,punjabi,punjabi_gur
Base,رانی نے کپ چھوڑ دیا,the queen released the cup,رانی نے کپ چھڈ دِتا,ਰਾਨੀ ਨੇ ਕਪ ਛੱਡ ਦਿੱਤਾ
Base,لڑکے نے گلدان چھوڑ دیا,the boy released the vase,منڈے نے گلدان چھڈ دِتا,ਮੁੰਡੇ ਨੇ ਗੁਲਦਾਨ ਛੱਡ ਦਿੱਤਾ
Base,احمد نے گلدان جلا دیا,Ahmed burned the vase,احمد نے گلدان ساڑ دِتا,ਅਹਮਦ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ
Base,ثنا نے گلدان چھوڑ دیا,Sana released the vase,ثنا نے گلدان چھڈ دِتا,ਸਨਾ ਨੇ ਗੁਲਦਾਨ ਛੱਡ ਦਿੱਤਾ
Base,علی نے موبائل کھسکا دیا,Ali moved the phone,علی نے موبائل کھسکا دتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਖਸਕਾ ਦਿੱਤਾ
Base,احمد نے دروازہ جلا دیا,Ahmed burned the door,احمد نے بوہا ساڑ دِتا,ਅਹਮਦ ਨੇ ਬੂਹਾ ਸਾੜ ਦਿੱਤਾ
Base,راجہ نے گاڑی جلا دی,the king burned the car,راجا نے گڈّی ساڑ دِتی,ਰਾਜਾ ਨੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ
Base,فاطمہ نے دروازہ چھوڑ دیا,Fatima released the door,فاطمہ نے بوہا چھڈ دِتا,ਫਾਤਿਮਾ ਨੇ ਬੂਹਾ ਛੱਡ ਦਿੱਤਾ
Base,لڑکے نے کتاب الٹا دی,the boy flipped the book,منڈے نے کتاب الٹا دتی,ਮੁੰਡੇ ਨੇ ਕਿਤਾਬ ਉਲਟਾ ਦਿੱਤੀ
Base,ببلو نے چابی چھوڑ دی,Bablu let go of the key,ببلو نے کنجی چھڈ دِتی,ਬਬਲੂ ਨੇ ਕੁੰਜੀ ਛੱਡ ਦਿੱਤੀ
Base,علی نے موبائل توڑ دیا,Ali broke the phone,علی نے موبائل توڑ دِتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ
Base,راجہ نے صراحی چھوڑ دی,the king let go of the pitcher,راجا نے صراحی چھڈ دِتی,ਰਾਜਾ ਨੇ ਸੁਰਾਹੀ ਛੱਡ ਦਿੱਤੀ
Base,استاد نے گڑیا توڑ دی تھی,the teacher broke the doll,استاد نے گڈی توڑ دِتی سی,ਉਸਤਾਦ ਨੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ
Base,لڑکے نے کھلونا گرا دیا,the boy dropped the toy,منڈے نے کھڈونا ڈھا دِتا,ਮੁੰਡੇ ਨੇ ਖਿਡੌਣਾ ਢਾਹ ਦਿੱਤਾ
Base,رانی نے کھلونا کھسکا دیا,the queen moved the toy,رانی نے کھڈونا کھسکا دتا,ਰਾਨੀ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ
Base,لڑکے نے قلم گما دیا,the boy lost the pen,منڈے نے قلم گما دتا,ਮੁੰਡੇ ਨੇ ਕਲਮ ਗੁਆ ਦਿੱਤਾ
Base,علی نے گلدان توڑ دیا,Ali broke the vase,علی نے گلدان توڑ دِتا,ਅਲੀ ਨੇ ਗੁਲਦਾਨ ਤੋੜ ਦਿੱਤਾ
Base,ببلو نے موبائل الٹا دیا,Bablu flipped the phone,ببلو نے موبائل الٹا دتا,ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ ਉਲਟਾ ਦਿੱਤਾ
Base,طالبہ نے قلم جلا دیا,the student burned the pen,شاگرد نے قلم ساڑ دِتا,ਸ਼ਾਗਿਰਦ ਨੇ ਕਲਮ ਸਾੜ ਦਿੱਤਾ
Base,علی نے موبائل گما دیا,Ali lost the phone,علی نے موبائل گما دتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਗੁਆ ਦਿੱਤਾ
Base,لڑکے نے دروازہ الٹا دیا,the boy flipped the door,منڈے نے بوہا الٹا دتا,ਮੁੰਡੇ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ
Base,علی نے کپ گما دیا,Ali lost the cup,علی نے کپ گما دتا,ਅਲੀ ਨੇ ਕਪ ਗੁਆ ਦਿੱਤਾ
Base,ثنا نے موبائل توڑ دیا,Sana broke the phone,ثنا نے موبائل توڑ دِتا,ਸਨਾ ਨੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ
Base,ثنا نے کپ الٹا دیا,Sana flipped the cup,ثنا نے کپ الٹا دتا,ਸਨਾ ਨੇ ਕਪ ਉਲਟਾ ਦਿੱਤਾ
Base,راجہ نے دروازہ توڑ دیا,the king broke the door,راجا نے بوہا توڑ دِتا,ਰਾਜਾ ਨੇ ਬੂਹਾ ਤੋੜ ਦਿੱਤਾ
Base,ببلو نے گاڑی الٹا دی,Bablu flipped the car,ببلو نے گڈّی الٹا دتی,ਬਬਲੂ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ
Base,رانی نے چابی جلا دی,the queen burned the key,رانی نے کنجی ساڑ دِتی,ਰਾਨੀ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ
Base,احمد نے گلدان گرا دیا,Ahmed dropped the vase,احمد نے گلدان ڈھا دِتا,ਅਹਮਦ ਨੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ
Base,طالبہ نے گلدان جلا دیا,the student burned the vase,شاگرد نے گلدان ساڑ دِتا,ਸ਼ਾਗਿਰਦ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ
Base,طالبہ نے چابی جلا دی,the student burned the key,شاگرد نے کنجی ساڑ دِتی,ਸ਼ਾਗਿਰਦ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ
Base,لڑکی نے کپ کھسکا دیا,the girl moved the cup,کُڑی نے کپ کھسکا دتا,ਕੁੜੀ ਨੇ ਕਪ ਖਸਕਾ ਦਿੱਤਾ
Base,لڑکے نے صراحی پکڑ لی,the boy caught the pitcher,منڈے نے صراحی پھڑ لئی,ਮੁੰਡੇ ਨੇ ਸੁਰਾਹੀ ਫੜ ਲਈ
Base,احمد نے کپ جلا دیا,Ahmed burned the cup,احمد نے کپ ساڑ دِتا,ਅਹਮਦ ਨੇ ਕਪ ਸਾੜ ਦਿੱਤਾ
Base,لڑکی نے دروازہ توڑ دیا,the girl broke the door,کُڑی نے بوہا توڑ دِتا,ਕੁੜੀ ਨੇ ਬੂਹਾ ਤੋੜ ਦਿੱਤਾ
Base,فاطمہ نے گلدان جلا دیا,Fatima burned the vase,فاطمہ نے گلدان ساڑ دِتا,ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ
Base,لڑکے نے پنسل گندی کر دی,the boy dirtied the pencil,منڈے نے پنسل گندی کر دتی,ਮੁੰਡੇ ਨੇ ਪੈਨਸਿਲ ਗੰਦੀ ਕਰ ਦਿੱਤੀ
Base,رانی نے دروازہ الٹا دیا,the queen flipped the door,رانی نے بوہا الٹا دتا,ਰਾਨੀ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ
Base,ببلو نے موبائل گندا کر دیا,Bablu dirtied the phone,ببلو نے موبائل گندا کر دتا,ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ ਗੰਦਾ ਕਰ ਦਿੱਤਾ
Base,استاد نے کتاب گندی کر دی,the teacher dirtied the book,استاد نے کتاب گندی کر دتی,ਉਸਤਾਦ ਨੇ ਕਿਤਾਬ ਗੰਦੀ ਕਰ ਦਿੱਤੀ
Base,احمد نے دروازہ گما دیا,Ahmed lost the door,احمد نے بوہا گما دتا,ਅਹਮਦ ਨੇ ਬੂਹਾ ਗੁਆ ਦਿੱਤਾ
Base,لڑکی نے پنسل چھوڑ دی,the girl let go of the pencil,کُڑی نے پنسل چھڈ دِتی,ਕੁੜੀ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ
Base,علی نے قلم گندا کر دیا,Ali dirtied the pen,علی نے قلم گندا کر دتا,ਅਲੀ ਨੇ ਕਲਮ ਗੰਦਾ ਕਰ ਦਿੱਤਾ
Base,علی نے صراحی کھسکا دی,Ali moved the pitcher,علی نے صراحی کھسکا دتی,ਅਲੀ ਨੇ ਸੁਰਾਹੀ ਖਸਕਾ ਦਿੱਤੀ
Base,استاد نے گاڑی کھسکا دی,the teacher moved the car,استاد نے گڈّی کھسکا دتی,ਉਸਤਾਦ ਨੇ ਗੱਡੀ ਖਸਕਾ ਦਿੱਤੀ
Base,ثنا نے کپ پکڑ لیا,Sana caught the cup,ثنا نے کپ پھڑ لیا,ਸਨਾ ਨੇ ਕਪ ਫੜ ਲਿਆ
Base,راجہ نے کھلونا چھوڑ دیا,the king released the toy,راجا نے کھڈونا چھڈ دِتا,ਰਾਜਾ ਨੇ ਖਿਡੌਣਾ ਛੱਡ ਦਿੱਤਾ
Base,فاطمہ نے کپ پکڑ لیا,Fatima caught the cup,فاطمہ نے کپ پھڑ لیا,ਫਾਤਿਮਾ ਨੇ ਕਪ ਫੜ ਲਿਆ
