frame,urdu,english,punjabi,punjabi_gur
Base,رانی سے گڑیاں الٹ گئیں,the queen accidentally flipped the dolls,رانی توں گڈیاں الٹ گئیاں,ਰਾਨੀ ਤੋਂ ਗੱਡੀਆਂ ਉਲਟ ਗਈਆਂ
Base,لڑکی سے گڑیاں ٹوٹ گئیں,the girl accidentally broke the dolls,کُڑی توں گڈیاں ٹُٹ گئیاں,ਕੁੜੀ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,احمد سے چابیاں الٹ گئیں,Ahmed accidentally flipped the keys,احمد توں چابیاں الٹ گئیاں,ਅਹਮਦ ਤੋਂ ਚਾਬੀਆਂ ਉਲਟ ਗਈਆਂ
Base,لڑکے سے گاڑی گر جائے گی,the boy will accidentally drop the car,منڈے توں گڈّی ڈِگ جاوے گی,ਮੁੰਡੇ ਤੋਂ ਗੱਡੀ ਡਿੱਗ ਜਾਵੇਗੀ
Base,علی سے قلم گر گئے,Ali accidentally dropped the pen,علی توں قلم ڈِگ گئے,ਅਲੀ ਤੋਂ ਕਲਮ ਡਿੱਗ ਗਏ
Base,احمد سے صراحی الٹ گئی ہے,Ahmed has accidentally flipped the pitcher,احمد توں صراحی الٹ گئی اے,ਅਹਮਦ ਤੋਂ ਸੁਰਾਹੀ ਉਲਟ ਗਈ ਏ
Base,استاد سے دروازے الٹ گئے,the teacher accidentally flipped the doors,استاد توں بوہے الٹ گئے,ਉਸਤਾਦ ਤੋਂ ਬੂਹੇ ਉਲਟ ਗਏ
Base,طالبہ سے چابی کھسک رہی ہے,the student is accidentally moving the key,شاگرد توں کنجی کھسک رہی اے,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕੁੰਜੀ ਖਸਕ ਰਹੀ ਏ
Base,لڑکی سے گاڑیاں جل گئیں,the girl accidentally burned the cars,کُڑی توں گڈیاں سڑ گئیاں,ਕੁੜੀ ਤੋਂ ਗੱਡੀਆਂ ਸੜ ਗਈਆਂ
Base,طالبہ سے قلم ٹوٹ گئے,the student accidentally broke the pen,شاگرد توں قلم ٹُٹ گئے,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕਲਮ ਟੁੱਟ ਗਏ
Base,ثنا سے کپ الٹ گیا تھا,Sana had accidentally flipped the cup,ثنا توں کپ الٹ گیا سی,ਸਨਾ ਤੋਂ ਕਪ ਉਲਟ ਗਿਆ ਸੀ
Base,ثنا سے چابیاں جل گئیں,Sana accidentally burned the keys,ثنا توں چابیاں سڑ گئیاں,ਸਨਾ ਤੋਂ ਚਾਬੀਆਂ ਸੜ ਗਈਆਂ
Base,لڑکے سے پنسل ٹوٹ رہی ہے,the boy is accidentally breaking the pencil,منڈے توں پنسل ٹُٹ رہی اے,ਮੁੰਡੇ ਤੋਂ ਪੈਨਸਿਲ ਟੁੱਟ ਰਹੀ ਏ
Base,طالبہ سے قلم ٹوٹ گیا,the student accidentally broke the pen,شاگرد توں قلم ٹُٹ گیا,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕਲਮ ਟੁੱਟ ਗਿਆ
Base,موٹو سے گڑیاں الٹ گئیں,Motu accidentally flipped the dolls,موٹو توں گڈیاں الٹ گئیاں,ਮੋਟੂ ਤੋਂ ਗੱਡੀਆਂ ਉਲਟ ਗਈਆਂ
