frame,urdu,english,punjabi,punjabi_gur,gold
Base,رانی نے کپ چھوڑ دیا,the queen released the cup,رانی نے کپ چھڈ دِتا,ਰਾਨੀ ਨੇ ਕਪ ਛੱਡ ਦਿੱਤਾ,VOL
Base,لڑکے نے گلدان چھوڑ دیا,the boy released the vase,منڈے نے گلدان چھڈ دِتا,ਮੁੰਡੇ ਨੇ ਗੁਲਦਾਨ ਛੱਡ ਦਿੱਤਾ,VOL
Base,احمد نے گلدان جلا دیا,Ahmed burned the vase,احمد نے گلدان ساڑ دِتا,ਅਹਮਦ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ,VOL
Base,ثنا نے گلدان چھوڑ دیا,Sana released the vase,ثنا نے گلدان چھڈ دِتا,ਸਨਾ ਨੇ ਗੁਲਦਾਨ ਛੱਡ ਦਿੱਤਾ,VOL
Base,علی نے موبائل کھسکا دیا,Ali moved the phone,علی نے موبائل کھسکا دتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,احمد نے دروازہ جلا دیا,Ahmed burned the door,احمد نے بوہا ساڑ دِتا,ਅਹਮਦ ਨੇ ਬੂਹਾ ਸਾੜ ਦਿੱਤਾ,VOL
Base,راجہ نے گاڑی جلا دی,the king burned the car,راجا نے گڈّی ساڑ دِتی,ਰਾਜਾ ਨੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ,VOL
Base,فاطمہ نے دروازہ چھوڑ دیا,Fatima released the door,فاطمہ نے بوہا چھڈ دِتا,ਫਾਤਿਮਾ ਨੇ ਬੂਹਾ ਛੱਡ ਦਿੱਤਾ,VOL
Base,لڑکے نے کتاب الٹا دی,the boy flipped the book,منڈے نے کتاب الٹا دتی,ਮੁੰਡੇ ਨੇ ਕਿਤਾਬ ਉਲਟਾ ਦਿੱਤੀ,VOL
Base,ببلو نے چابی چھوڑ دی,Bablu let go of the key,ببلو نے کنجی چھڈ دِتی,ਬਬਲੂ ਨੇ ਕੁੰਜੀ ਛੱਡ ਦਿੱਤੀ,VOL
Base,علی نے موبائل توڑ دیا,Ali broke the phone,علی نے موبائل توڑ دِتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ,VOL
Base,راجہ نے صراحی چھوڑ دی,the king let go of the pitcher,راجا نے صراحی چھڈ دِتی,ਰਾਜਾ ਨੇ ਸੁਰਾਹੀ ਛੱਡ ਦਿੱਤੀ,VOL
Base,استاد نے گڑیا توڑ دی تھی,the teacher broke the doll,استاد نے گڈی توڑ دِتی سی,ਉਸਤਾਦ ਨੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,لڑکے نے کھلونا گرا دیا,the boy dropped the toy,منڈے نے کھڈونا ڈھا دِتا,ਮੁੰਡੇ ਨੇ ਖਿਡੌਣਾ ਢਾਹ ਦਿੱਤਾ,VOL
Base,رانی نے کھلونا کھسکا دیا,the queen moved the toy,رانی نے کھڈونا کھسکا دتا,ਰਾਨੀ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,لڑکے نے قلم گما دیا,the boy lost the pen,منڈے نے قلم گما دتا,ਮੁੰਡੇ ਨੇ ਕਲਮ ਗੁਆ ਦਿੱਤਾ,VOL
Base,علی نے گلدان توڑ دیا,Ali broke the vase,علی نے گلدان توڑ دِتا,ਅਲੀ ਨੇ ਗੁਲਦਾਨ ਤੋੜ ਦਿੱਤਾ,VOL
Base,ببلو نے موبائل الٹا دیا,Bablu flipped the phone,ببلو نے موبائل الٹا دتا,ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,طالبہ نے قلم جلا دیا,the student burned the pen,شاگرد نے قلم ساڑ دِتا,ਸ਼ਾਗਿਰਦ ਨੇ ਕਲਮ ਸਾੜ ਦਿੱਤਾ,VOL
Base,علی نے موبائل گما دیا,Ali lost the phone,علی نے موبائل گما دتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਗੁਆ ਦਿੱਤਾ,VOL
Base,لڑکے نے دروازہ الٹا دیا,the boy flipped the door,منڈے نے بوہا الٹا دتا,ਮੁੰਡੇ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,علی نے کپ گما دیا,Ali lost the cup,علی نے کپ گما دتا,ਅਲੀ ਨੇ ਕਪ ਗੁਆ ਦਿੱਤਾ,VOL
Base,ثنا نے موبائل توڑ دیا,Sana broke the phone,ثنا نے موبائل توڑ دِتا,ਸਨਾ ਨੇ ਮੋਬਾਈਲ ਤੋੜ ਦਿੱਤਾ,VOL
Base,ثنا نے کپ الٹا دیا,Sana flipped the cup,ثنا نے کپ الٹا دتا,ਸਨਾ ਨੇ ਕਪ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,راجہ نے دروازہ توڑ دیا,the king broke the door,راجا نے بوہا توڑ دِتا,ਰਾਜਾ ਨੇ ਬੂਹਾ ਤੋੜ ਦਿੱਤਾ,VOL
Base,ببلو نے گاڑی الٹا دی,Bablu flipped the car,ببلو نے گڈّی الٹا دتی,ਬਬਲੂ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ,VOL
Base,رانی نے چابی جلا دی,the queen burned the key,رانی نے کنجی ساڑ دِتی,ਰਾਨੀ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ,VOL
Base,احمد نے گلدان گرا دیا,Ahmed dropped the vase,احمد نے گلدان ڈھا دِتا,ਅਹਮਦ ਨੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ,VOL
Base,طالبہ نے گلدان جلا دیا,the student burned the vase,شاگرد نے گلدان ساڑ دِتا,ਸ਼ਾਗਿਰਦ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ,VOL
Base,طالبہ نے چابی جلا دی,the student burned the key,شاگرد نے کنجی ساڑ دِتی,ਸ਼ਾਗਿਰਦ ਨੇ ਕੁੰਜੀ ਸਾੜ ਦਿੱਤੀ,VOL
Base,لڑکی نے کپ کھسکا دیا,the girl moved the cup,کُڑی نے کپ کھسکا دتا,ਕੁੜੀ ਨੇ ਕਪ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,لڑکے نے صراحی پکڑ لی,the boy caught the pitcher,منڈے نے صراحی پھڑ لئی,ਮੁੰਡੇ ਨੇ ਸੁਰਾਹੀ ਫੜ ਲਈ,VOL
Base,احمد نے کپ جلا دیا,Ahmed burned the cup,احمد نے کپ ساڑ دِتا,ਅਹਮਦ ਨੇ ਕਪ ਸਾੜ ਦਿੱਤਾ,VOL
